Material Classification,Company,Material Code,Year,Purch.Doc.,Material Name,PO Quantity,Supplier Name,Net Price,Plant,Material Group,Purchasing Group,UOM,Currency,Manufacturer Name,Origin,Indentor Name Auto,Latest Supplier (ME2L Other),Latest Supplier Net Price (USD),PO Qty (This Entry),Sum of Total Value-New AVL Added Source Buy,Sum of Total Value-Existing Source Buy,Annual Net Saving in USD
MERCK/SIGMA/CRODA/FISHER,LAB,111000010,Jun-26,3200002209,MIGLYOL OIL,740, PALM-OLEO SDN. BHD,5.604,1100,RMIMAT,D16,KG,USD,PALM OLEO (KLANG) SDN.BHD,MALAYSIA,COSMO CHEM,"IOI ESTERCHEM (M) SDN, BHD",4.3,740,"$4,146.96 ","$3,182.00 ",($965)
MERCK/SIGMA/CRODA/FISHER,LAB,111000300,Jun-26,3200002199,CHLORPHENAMINE MALEATE BP,25, YUNPENG PHARMACEUTICAL G,60,1100,RMIMAT,D16,KG,USD,"YUNPENG PHARMACEUTICAL GROUP CO., LTD.",CHINA,SMART CHEM,SUPRIYA LIFESCIENCE LTD.,25.5,25,"$1,500.00 ",$637.50 ,($863)
MERCK/SIGMA/CRODA/FISHER,LAB,111000302,Jun-26,3200002165,CROTAMITON BP,500," BIOPOLE PHARMATECH CO.,",30.5,1100,RMIMAT,D16,KG,USD,"BIOPOLE PHARMATEC CO., LTD.",CHINA,SPIRIT,ASENCE PHARMA PVT LTD,29,500,"$15,250.00 ","$14,500.00 ",($750)
MERCK/SIGMA/CRODA/FISHER,LAB,111000306,Mar-26,3200002081,CLINDAMYCIN PHOSPHATE USP,25, HANGZHOU TAYWELL INTERNA,125,1100,RMIMAT,D16,KG,USD,"ZHEJIANG TIANTAI PHARMACEUTICAL. CO., LTD.",CHINA,NEON,JIANGXI MEDICINES AND HEALTH PRODUCTS I/E CO. LTD,108,25,"$3,125.00 ","$2,700.00 ",($425)
MERCK/SIGMA/CRODA/FISHER,LAB,111000149,Aug-26,3100002631,SODIUM LAURYL SULPHATE BP,280, A.M.YOUSUF & CO.,1200,1100,RMLMAT,R01,KG,PKR,KL-KEPONG OLEOMAS SDN BHD,MALAYSIA,A.M.YOUSUF & CO.,Edenor Technology,3.768428623,280,"$1,208.20 ","$1,055.16 ",($153)
SINGLE SOURCE,AHL,111000149,May-26,3100002480,SODIUM LAURYL SULPHATE BP,280, A.M.YOUSUF & CO.,1200,1100,RMLMAT,R01,KG,PKR,KL-KEPONG OLEOMAS SDN BHD,MALAYSIA,A.M.YOUSUF & CO.,Edenor Technology,3.768428623,280,"$1,208.20 ","$1,055.16 ",($153)
SINGLE SOURCE,AHL,111000232,Apr-26,3200002126,METOPROLOL TARTRATE USP,100, ZHEJIANG HENGDIAN APELOA,31,1100,RMIMAT,D16,KG,USD,"ZHEJIANG APELOA JIAYUAN PHARMACEUTICAL CO., LTD",CHINA,PENTALAM,IPCA LABORATOREIS LTD,29.5,100,"$3,100.00 ","$2,950.00 ",($150)
MULTI SOURCE,LAB,111000033,May-26,3100002495,POLYSORBATE 20 (TWEEN 20),200, EXCIPIENT HOUSE PAKISTAN,1800,1100,RMLMAT,R01,KG,PKR,Unitop Chemical Private Limited,INDIA,EXCIPIENT HOUSE PAKISTAN,CRODA SINGAPORE PTE LTD,5.933117584,200,"$1,294.50 ","$1,186.62 ",($108)
PROJECT,LAB,111000124,Dec-25,3100002291,LANOLIN ANHYDROUS USP/NF,1150, A.M.YOUSUF & CO.,8000,1100,RMLMAT,D16,KG,PKR,Croda Europe (Rawcliffe Bridge),SINGAPORE,A.M.YOUSUF & CO.,Croda Brazil,28.76663071,1150,"$33,081.63 ","$33,081.63 ",$0 
Single Origin,LAB,111000124,Oct-25,3100002205,LANOLIN ANHYDROUS USP/NF,135, A.M.YOUSUF & CO.,8000,1100,RMLMAT,D16,KG,PKR,Croda Europe (Rawcliffe Bridge),SINGAPORE,A.M.YOUSUF & CO.,Croda Brazil,28.76663071,135,"$3,883.50 ","$3,883.50 ",$0 
