Year,Material Code,Company,Material Name,Supplier Name,Manufacturer Name,PO Quantity,UOM,Net Price in USD,Historic Date,Latest Historic Net Price USD,Historic Supplier Name,Historic Manufacturer Name,Current Rate Total PO Value,Last Rate Total PO Value,Annual Net Saving in USD,% Age (Sav/Los),Mfg Status,Saving/Loss Impact
Aug-26,111000367,LAB,OLETH-2, COMMERCIAL QUIMICA MASSO,"COMERCIAL QUIMICA MASSÓ,SA",180,KG,27.26,11/06/2026 0:00,27.26, COMMERCIAL QUIMICA MASSO,"COMERCIAL QUIMICA MASSÓ,SA",4906.8,4906.8,$0 ,0,Same Mfg,No Change
Jul-26,111000340,LAB,"HG CAP SIZE-1, CAP BLUE-OP, BODY WHITE-O"," LONZA (THAILAND) CO., LT",Suzhou Capsugel Ltd.,10000,HND,0.205,12/02/2025 0:00,0.205," LONZA (THAILAND) CO., LT",Suzhou Capsugel Ltd.,2050,2050,$0 ,0,Same Mfg,No Change
Jul-26,111000359,LAB,IPRATROPIUM BROMIDE BP, AARTI PHARMALABS LIMITED,AARTI PHARMALABS LIMITED,1000,G,3,02/06/2026 0:00,3, AARTI PHARMALABS LIMITED,AARTI PHARMALABS LIMITED,3000,3000,$0 ,0,Same Mfg,No Change
Jul-26,111000210,LAB,ADAPALENE BP, BDR PHARMACEUTICALS INTE,VIRDEV INTERMEDIATES PVT. LTD,5000,G,2.25,03/03/2026 0:00,2.25, BDR PHARMACEUTICALS INTE,VIRDEV INTERMEDIATES PVT. LTD,11250,11250,$0 ,0,Same Mfg,No Change
Jul-26,111000285,LAB,TRETINOIN(MICRONIZED) USP, TAIZHOU BONA CHEMICAL CO,"TAIZHOU BONA CHEMICAL CO., LTD.",16000,G,0.685,03/04/2026 0:00,0.685, TAIZHOU BONA CHEMICAL CO,"TAIZHOU BONA CHEMICAL CO., LTD.",10960,10960,$0 ,0,Same Mfg,No Change
Aug-26,111000240,LAB,NYSTATIN BP, ANTIBIOTICE S.A.,ANTIBIOTICE S.A.,360,KG,247.6,02/03/2026 0:00,247.6, ANTIBIOTICE S.A.,ANTIBIOTICE S.A.,89136,89136,$0 ,0,Same Mfg,No Change
Jul-26,111000346,LAB,FAMCICLOVIR USP, TAIZHOU BONA CHEMICAL CO,"SHANGHAI PHARMA GROUP CHONGZHOU KONY PHARMACEUTICAL CO., LTD.",175,KG,334,03/04/2026 0:00,334, TAIZHOU BONA CHEMICAL CO,"SHANGHAI PHARMA GROUP CHONGZHOU KONY PHARMACEUTICAL CO., LTD.",58450,58450,$0 ,0,Same Mfg,No Change
Jul-26,111000286,LAB,THALIDOMIDE USP, CHANGZHOU PHARMACEUTICAL,CHANGZHOU PHARMACEUTICAL FACTORY,75,KG,450,03/04/2026 0:00,450, CHANGZHOU PHARMACEUTICAL,CHANGZHOU PHARMACEUTICAL FACTORY,33750,33750,$0 ,0,Same Mfg,No Change
Jul-26,111000314,LAB,DEXAMETHASONE (MICRONIZED) BP, TIANJIN TIANFA PHARMACEU,TIANJIN TIANYAO PHARMACEUTICALS (TIANJIN TAINFA PHARMACEUTICALS IMP. & EXP. CORP,2,KG,850,20/10/2025 0:00,850, TIANJIN TIANFA PHARMACEU,TIANJIN TIANYAO PHARMACEUTICALS (TIANJIN TAINFA PHARMACEUTICALS IMP. & EXP. CORP,1700,1700,$0 ,0,Same Mfg,No Change
Jul-26,111000304,LAB,COPOVIDONE (PLASDONE-S630) BP, STAR-TECH & JRS SPECIALT,"STAR-TECH & JRS SPECIALTY PRODUCTS CO.,LTD",1000,KG,18.5,02/06/2026 0:00,18.5, JRS PHARMA GMBH & CO. KG,"STAR-TECH & JRS SPECIALTY PRODUCTS CO.,LTD",18500,18500,$0 ,0,Same Mfg,No Change
