Maturity Status,Indentor,Status,COMPANY,Material Code,Material Name,Manufacturer Name,Origin,Commercialized Manufacturer Name,Per Lot Qty,Last Net Price in USD(Exist Sour),Per Lot Value ($)-Exist Sourc,Annual Qty Jul 2025 to Jun 2026,UOM,New Sourc Per lot Price($),Per lot Value - New Source $,Per Lot Diff,Per Annum Value $ - Exist Sou,Per Annum Value $ - New Sou,Per Annum Diff,Adjusted Annual Qty 10% of -ve,10% Adj Annum Value $ - Exist Sou,10% Adj Qty Annum Value $ - New Sou,Annual Net Saving in USD,AVL Added Dt,Last PO date,Ordering,Open PR & Date,Material Classification
NON MATURED,Morgan chemical,ACTIVE,LAB,111000011,MAGNESIUM STEARATE BP,"ANHUI SUNHERE PHARMACEUTICAL EXCIPIENTS CO., LTD.",CHINA,"PETER GREVEN, MALAYSIA",500,$6.83 ,"$3,416 ","2,520.00",KG,2.59,1295,"$2,121 ","$17,217 ","$6,527 ","$10,690 ",2520,"$17,217 ","$6,527 ","$10,690 ",08/06/2026,06/07/2026,ORDER NOT PLACED-FROM NEWLY ADDED SOURCE,,MULTI SOURCE
NON MATURED,MRI Indenting House,ACTIVE,LAB,111000014,MANNITOL BP,"Shandong Tianli Pharmaceuticals Co., Ltd",CHINA,QINGDAO BRIGHT MOON SEAW,2000,$2.80 ,"$5,600 ","5,550.00",KG,2.98,5960,($360),"$15,540 ","$16,539 ",($999),555,"$1,554 ","$1,654 ",($100),1/20/2026,03/08/2026,ORDER NEED TO PLACE-UPON PR,,Single Origin
NON MATURED,Neon chemical,ACTIVE,LAB,111000077,CHOLECALCIFEROL(VIT.D3) USP,Jiangxi Tianxin Pharmaceutical Co. Ltd,CHINA,"SICHUAN PROVINCE YUXIN PHARMACEUTICAL CO., LTD.",1000,$2.40 ,"$2,400 ","2,000.00",G,2.3,2300,$100 ,"$4,800 ","$4,600 ",$200 ,2000,"$4,800 ","$4,600 ",$200 ,11/14/2025,21/10/2025,ORDER NEED TO PLACE-UPON PR,"(1000413376, RMIMAT, 10-Aug-26, 3000 G)",Single Origin
NON MATURED,Falcon,ACTIVE,LAB,111000116,"HG CAP SIZE 0,CAP LIGHT PINK,BODY PINK O","JIANGSU LEFAN CAPSULE CO., LTD",CHINA,SUZHOU CAPSUGEL LTD,10500,$0.20 ,"$2,048 ",,HND,0.18,1890,$158 ,,,,,,,,1/29/2026,03/01/2025,ORDER NEED TO PLACE-UPON PR,,Single Origin
NON MATURED,MRI Indenting House,ACTIVE,LAB,111000127,MEGLUMINE,SUZHOU JINGYE MEDICINE & CHEMICAL CO. Ltd.,CHINA,MERCK Kgaa,25,$122.33 ,"$3,058 ",50,KG,45,1125,"$1,933 ","$6,117 ","$2,250 ","$3,867 ",50,"$6,117 ","$2,250 ","$3,867 ",4/30/2026,09/04/2026,ORDER NEED TO PLACE-UPON PR,,MERCK/SIGMA/CRODA/FISHER
NON MATURED,BIOFAR,ACTIVE,LAB,111000229,LACOSAMIDE BP,Shijiazhuang Lonzeal pharmaceutical co. ltd,CHINA,Chieron Active Ingredients Pvt. Ltd,100,$100.00 ,"$10,000 ",200,KG,180,18000,"($8,000)","$20,000 ","$36,000 ","($16,000)",20,"$2,000 ","$3,600 ","($1,600)",10/16/2025,17/12/2025,ORDER NEED TO PLACE-UPON PR,,MULTI SOURCE
NON MATURED,Noshad Trading,ACTIVE,LAB,111000236,MILRINONE USP,"FUXIN LONG RUI PHARMACEUTICAL CO., LTD.",CHINA,LUNAN BETTER PHARMACEUTICAL CO. LTD.,850,$6.38 ,"$5,423 ",600,G,7.5,6375,($952),"$3,828 ","$4,500 ",($672),60,$383 ,$450 ,($67),3/19/2026,09/07/2026,ORDER NEED TO PLACE-UPON PR,,Single Origin
NON MATURED,Neon chemical,ACTIVE,LAB,111000243,NAPROXEN SODIUM USP,"ZHEJIANG CHARIOTEER PHARMACEUTICAL CO., LTD.",CHINA,DIVI’S LABORATORIES LIMITED,100,$52.00 ,"$5,200 ",600,KG,41.6,4160,"$1,040 ","$31,200 ","$24,960 ","$6,240 ",600,"$31,200 ","$24,960 ","$6,240 ",7/13/2026,26/01/2026,ORDER NEED TO PLACE-UPON PR,,MULTI SOURCE
NON MATURED,Pentalam,ACTIVE,LAB,111000289,TELMISARTAN USP,ZHEJIANG HUAHAI PHARMACEUTICAL,CHINA,"VERDANT LIFE SCIENCE PVT.,LTD",50,$55.00 ,"$2,750 ",50,KG,62,3100,($350),"$2,750 ","$3,100 ",($350),5,$275 ,$310 ,($35),6/15/2025,31/07/2025,ORDER NEED TO PLACE-UPON PR,,MULTI SOURCE
NON MATURED,SPIRIT CHEMICALS,ACTIVE,LAB,111000316,DOXYCYCLINE HYCLATE BP,"Yancheng Suhai Pharmaceutical Co., Ltd.",CHINA,KUNSHAN CHEMICAL (KUNSHAN ORIENTAL PHARMACEUTICAL),5800,$45.50 ,"$263,900 ","5,800.00",KG,65,377000,"($113,100)","$263,900 ","$377,000 ","($113,100)",580,"$26,390 ","$37,700 ","($11,310)",09/05/2025,23/07/2025,ORDER NOT PLACED-FROM NEWLY ADDED SOURCE,,PROJECT
NON MATURED,BIOFAR,ACTIVE,LAB,111000329,ESCITALOPRAM OXALATE USP,"ZHEJIANG HAISEN PHARMACEUTICAL CO., LTD.",CHINA,SMILAX LABORATORIES LIMITED.,25,$210.00 ,"$5,250 ",25,KG,180,4500,$750 ,"$5,250 ","$4,500 ",$750 ,25,"$5,250 ","$4,500 ",$750 ,3/19/2026,12/07/2025,ORDER NEED TO PLACE-UPON PR,,CORE INDIAN
NON MATURED,Pentalam,ACTIVE,LAB,111000329,ESCITALOPRAM OXALATE USP,"ZHEJIANG HUAHAI PHARMACEUTICAL CO., LTD.",CHINA,SMILAX LABORATORIES LIMITED.,25,$210.00 ,"$5,250 ",25,KG,140,3500,"$1,750 ","$5,250 ","$3,500 ","$1,750 ",25,"$5,250 ","$3,500 ","$1,750 ",05/05/2026,12/07/2025,ORDER NEED TO PLACE-UPON PR,,CORE INDIAN
