Development Stage,Material Classification,Sample Submission Date,Material Code,Active Mfg Count,Company,Material Name,Manufacturer Name,Origin,Indentor Name,Development Rates,Com Mfg Name,Net Price in USD,Per Lot Qty,UOM,Annual Qty,Existing source Total annual value,Under Dev source Total annual value,Net Saving/Loss,%Age Saving/Loss,Saving/Loss,Best Net Saving/Loss,Existing source Total annual value (10% Qty),Under Dev source Total annual value (10% Qty),Net Saving/Loss (10% Qty),%Age Saving/Loss (10% Qty),Saving/Loss (10% Qty),Annual Net Saving
INITIAL TESTING,SINGLE SOURCE,24/08/2026,111000091,1,LAB,FOLIC ACID USP,Zhejiang Shengda Bio-Pharm,China,Druglink,$0.,"HEBEI JIHENG (GROUP) PHARMACEUTICAL CO., LTD",$200.00,1,KG,1,200,0,$200,100,Saving,$200,200,0,200,100,Saving,$200
INITIAL TESTING,PROJECT,24/08/2026,111000240,1,LAB,NYSTATIN BP,"Fujian Fukang Pharmaceutical Co., Ltd",China,Morgan,$200.,ANTIBIOTICE S.A.,$247.60,360,KG,1080,267408,216000,"$51,408",19,Saving,"$51,408",267408,216000,51408,19,Saving,"$51,408"
INITIAL TESTING,SINGLE SOURCE,03/08/2026,111000314,1,LAB,DEXAMETHASONE (MICRONIZED) BP,Zhejiang Xianju,China,Neon,$800.,TIANJIN TIANYAO PHARMACEUTICALS (TIANJIN TAINFA PHARMACEUTICALS IMP. & EXP. CORP,$850.00,2,KG,2,1700,1600,$100,6,Saving,$100,1700,1600,100,6,Saving,$100
INITIAL TESTING,PROJECT,24/08/2026,111000297,1,LAB,BACITRACIN BP,NCPC,China,SBR,$400.,XELLIA PHARMACEUTICALS L,$500.00,100,KG,390,195000,156000,"$39,000",20,Saving,"$39,000",195000,156000,39000,20,Saving,"$39,000"
INITIAL TESTING,PELLET / INDIAN,24/08/2026,111000321,1,LAB,Duloxetine Hydrochloride 20%,Sami,Pakistan,Sami,$87.719298245614,TITAN LABORATORIES PVT. LTD.,$100.50,,KG,900,90450,78947.36842,"$11,503",13,Saving,,90450,78947.36842,11502.63158,13,Saving,
INITIAL TESTING,PELLET / INDIAN,24/08/2026,111000326,1,LAB,ESOMEPRAZOLE ENTERIC COATED PELLETS 22.5,Sami,Pakistan,Sami,$31.5789473684211,ALPHAMED FORMULATION (PVT) LTD.,$38.00,400,KG,700,26600,22105.26316,"$4,495",17,Saving,"$4,495",26600,22105.26316,4494.736842,17,Saving,"$4,495"
INITIAL TESTING,PELLET / INDIAN,24/08/2026,111000321,1,LAB,Duloxetine Hydrochloride 20%,Biopol Pharma,China,Spirit,$190.,TITAN LABORATORIES PVT. LTD.,$100.50,,KG,900,90450,171000,"($80,550)",-89,Loss,,9045,17100,-8055,-89,Loss,
AT STABILITY,ASCARD,19/12/2025,111000053,1,LAB,PURIFIED TALC BP,B. B. Minerals,Pakistan,B. B. Minerals,$1.4,NITIKA PHARMACEUTICAL SPECIALITIES PVT. LTD.,$2.60,1500,KG,3300,8580,4620,"$3,960",46,Saving,"$3,960",8580,4620,3960,46,Saving,"$3,960"
AT STABILITY,SINGLE SOURCE,14/11/2024,111000411,1,LAB,CARBOMER 971P,Emrays,UAE,COSMOCHEM,$45.,LUBRIZOL,$46.94,528,KG,1056,49568.64,47520,"$2,049",4,Saving,"$2,049",49568.64,47520,2048.64,4,Saving,"$2,049"
AT STABILITY,ASCARD,19/09/2025,111000086,1,LAB,"SHEFCOAT ENT PINK
Seal COAT
SHEFFCOAT CLEAR 5Y01771 ( Seal Coat)",KERRY,USA,Dawn Impex,$87.,"NEELIKON FOOD DYES & CHEMICAL, INDIA",$78.62,75,KG,275,21621.26933,23925,"($2,304)",-11,Loss,,21621.26933,23925,-2303.730672,-11,Loss,
AT STABILITY,MERCK/SIGMA/CRODA/FISHER,14/11/2024,111000067,1,LAB,CETOMACROGOL 1000 BP 98,Unitop Chemicals Pvt. Ltd.,India,Dawn Impex,$6.5,"CRODA CHEMICALS, SINGAPORE.",$10.79,2000,KG,14040,151456.3107,91260,"$60,196",40,Saving,"$60,196",151456.3107,91260,60196.31068,40,Saving,"$60,196"
AT STABILITY,SINGLE SOURCE,14/01/2026,121000030,1,LAB,ALU ALU Base Foil (Printed) 211 mm ±1mm,SHANGHAI ZIJIANG COLOR,China,Gudia Pvt Ltd,$4.95,NANTONG HUIDESENG PACKAGING MATERIAL CO. LTD.,$5.20,10000,KG,47730,248196,236263.5,"$11,933",5,Saving,"$11,933",248196,236263.5,11932.5,5,Saving,"$11,933"
AT STABILITY,SINGLE SOURCE,31/12/2024,111000002,1,LAB,MICROCRYSTALLINE CELLULOSE (PH 101) BP,SHANDONG GUANGD,China,IRIS,$2.6,RETTENMAIER NATURAL FIBE,$3.05,400,KG,400,1220,1040,$180,15,Saving,,1220,1040,180,15,Saving,
